distance,noise,mean_accuracy,std_accuracy
3,0.0001,0.9998666666666668,9.428090415819596e-05
3,0.0002,0.9998666666666668,0.0001885618083163
3,0.0005,0.9994,0.0001632993161855
3,0.001,0.9986,0.0004320493798938
3,0.002,0.9981333333333332,0.0003399346342395
3,0.005,0.9918,0.0012754084313139
5,0.0001,1.0,0.0
5,0.0002,1.0,0.0
5,0.0005,1.0,0.0
5,0.001,0.9998,0.0
5,0.002,0.9996,0.0004320493798938
5,0.005,0.9934666666666666,0.0007363574011457
7,0.0001,1.0,0.0
7,0.0002,1.0,0.0
7,0.0005,1.0,0.0
7,0.001,1.0,0.0
7,0.002,1.0,0.0
7,0.005,0.997,0.0001632993161855
9,0.0001,1.0,0.0
9,0.0002,1.0,0.0
9,0.0005,1.0,0.0
9,0.001,1.0,0.0
9,0.002,1.0,0.0
9,0.005,0.9978,0.0002828427124745
11,0.0001,1.0,0.0
11,0.0002,1.0,0.0
11,0.0005,1.0,0.0
11,0.001,1.0,0.0
11,0.002,1.0,0.0
11,0.005,0.9994666666666668,0.0003399346342395
