distance,noise,mean_logical_error,std_logical_error
3,0.0001,0.0001333333333333,9.428090415820637e-05
3,0.0002,0.0001333333333333,0.0001885618083164
3,0.0005,0.0006,0.0001632993161855
3,0.001,0.0014,0.0004320493798938
3,0.002,0.0018666666666666,0.0003399346342395
3,0.005,0.0082,0.0012754084313139
5,0.0001,0.0,0.0
5,0.0002,0.0,0.0
5,0.0005,0.0,0.0
5,0.001,0.0002,0.0
5,0.002,0.0004,0.0004320493798938
5,0.005,0.0065333333333333,0.0007363574011458
7,0.0001,0.0,0.0
7,0.0002,0.0,0.0
7,0.0005,0.0,0.0
7,0.001,0.0,0.0
7,0.002,0.0,0.0
7,0.005,0.003,0.0001632993161855
9,0.0001,0.0,0.0
9,0.0002,0.0,0.0
9,0.0005,0.0,0.0
9,0.001,0.0,0.0
9,0.002,0.0,0.0
9,0.005,0.0022,0.0002828427124746
11,0.0001,0.0,0.0
11,0.0002,0.0,0.0
11,0.0005,0.0,0.0
11,0.001,0.0,0.0
11,0.002,0.0,0.0
11,0.005,0.0005333333333333,0.0003399346342395
