distance,noise,mean_runtime,std_runtime
3,0.0001,0.0038310860594113,0.0004832004541666
3,0.0002,0.0035574808716773,1.6272846950048973e-05
3,0.0005,0.0037157237529754,4.784828678927981e-05
3,0.001,0.00400939087073,6.289020718915696e-06
3,0.002,0.0045728509624799,2.5213129731643408e-05
3,0.005,0.0063875764608383,6.188118725804211e-06
5,0.0001,0.0201064844926198,0.0002067281620667
5,0.0002,0.0201921711365381,8.301878122917107e-05
5,0.0005,0.0211933826406796,0.0003004390265493
5,0.001,0.0228485688567161,4.374505215591714e-05
5,0.002,0.0250546336174011,0.0002830951429131
5,0.005,0.0355940436323483,0.0007143711385505
7,0.0001,0.0403167903423309,0.0012736456542156
7,0.0002,0.0376260901490847,0.0012440217063765
7,0.0005,0.0376004527012507,0.0014433884096253
7,0.001,0.037606822947661,0.0003860996605154
7,0.002,0.066677339375019,0.0016580457858522
7,0.005,0.1049747342864672,0.0009611425264232
9,0.0001,0.0874448766311009,0.0008021310803711
9,0.0002,0.0886678099632263,3.218944228597552e-05
9,0.0005,0.0948474034667015,0.0005141061460197
9,0.001,0.1022974625229835,0.0027391862461691
9,0.002,0.1071482002735138,0.0063718592119099
9,0.005,0.1420680060982704,0.0114387012278102
11,0.0001,0.0825267011920611,0.0008390772030981
11,0.0002,0.0838799153765042,0.0002837592689291
11,0.0005,0.0896699105699857,0.0003539193543283
11,0.001,0.100714864830176,0.0002283248154865
11,0.002,0.1251168921589851,0.0005314842593176
11,0.005,0.2238767420252164,0.0004390315925318
